tokenID,name,file_name,description,attributes[Rarity]
167,Pod #167,167.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
168,Pod #168,168.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
169,Pod #169,169.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
170,Pod #170,170.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
171,Pod #171,171.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
172,Pod #172,172.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
173,Pod #173,173.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
174,Pod #174,174.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
175,Pod #175,175.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
176,Pod #176,176.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
177,Pod #177,177.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
178,Pod #178,178.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
179,Pod #179,179.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
180,Pod #180,180.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
181,Pod #181,181.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
182,Pod #182,182.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
183,Pod #183,183.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
184,Pod #184,184.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
185,Pod #185,185.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
186,Pod #186,186.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
187,Pod #187,187.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
188,Pod #188,188.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
189,Pod #189,189.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
190,Pod #190,190.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
191,Pod #191,191.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
192,Pod #192,192.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
193,Pod #193,193.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
194,Pod #194,194.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
195,Pod #195,195.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
196,Pod #196,196.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
197,Pod #197,197.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
198,Pod #198,198.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
199,Pod #199,199.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
200,Pod #200,200.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
